"finess_ET","finess_EJ","RS","cat","statut","address","lat","lng","LIT_chir","LIT_obs","LIT_HAD","LIT_med","LIT_psy","LIT_SLD","LIT_SSR","SEJHC_chir","SEJHC_obs","SEJHC_HAD","SEJHC_med","SEJHC_psy","SEJHC_SLD","SEJHC_SSR","JOU_chir","JOU_obs","JOU_HAD","JOU_med","JOU_psy","JOU_SLD","JOU_SSR","PLA_chir","PLA_obs","PLA_HAD","PLA_med","PLA_psy","PLA_SLD","PLA_SSR","SEJHP_chir","SEJHP_obs","SEJHP_HAD","SEJHP_med","SEJHP_psy","SEJHP_SLD","SEJHP_SSR","LIT_total","SEJHC_total","JOU_total","PLA_total","SEJHP_total"
"010000214","010007987","CH PUBLIC HAUTEVILLE UNIT… ALBARINE","CH","Public","CH PUBLIC HAUTEVILLE UNITE ALBARINE 01110 HAUTEVILLE LOMPNES",45.9755647,5.611074,NA,NA,NA,11,NA,NA,151,NA,NA,NA,392,NA,NA,1331,NA,NA,NA,3834,NA,NA,46679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,162,1723,50513,0,0
"010000495","010783009","C.P.A. BOURG EN BRESSE","CHS","ESPIC",NA,NA,NA,NA,NA,NA,NA,379,NA,NA,NA,NA,NA,NA,6676,NA,NA,NA,NA,NA,NA,129995,NA,NA,NA,NA,NA,NA,124,NA,NA,NA,NA,NA,NA,14392,NA,NA,379,6676,129995,124,14392
"010002129","750056335","CLINIQUE DE REEDUCATION LES ARBELLES","SSR prive","Prive lucratif","CLINIQUE DE READAPTATION LES ARBELLES 554 R LEOPOLD LE HON 01000 BOURG EN BRESSE",46.1944411,5.2321928,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,908,NA,NA,NA,NA,NA,NA,36141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,908,36141,0,0
"010005239","010008407","CH DU HAUT BUGEY SITE GEOVREISSET","CH","Public","CH DU HAUT BUGEY SITE GEOVREISSET 1 RTE DE VEYZIAT 01108 OYONNAX CEDEX",46.2595923,5.629948,26,21,NA,68,NA,NA,30,1395,1027,NA,5075,NA,NA,362,5208,3350,NA,22389,NA,NA,10538,7,1,NA,7,NA,NA,0,1364,137,NA,747,NA,NA,NA,145,7859,41485,15,2248
"010005379","690006598","HAD AMBERIEU EN BUGEY","HAD","Prive non lucratif (non ESPIC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11793,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,242,NA,NA,NA,NA,0,0,11793,60,242
"010006526","690796552","UNITE D'AUTODIALYSE OYONNAX AURAL","Structure d'alternative a la dialyse","ESPIC","AURAL UNITE DIALYSE CH HAUT BUGEY 2 RTE DE VEYZIAT 01100 OYONNAX",46.2611694,5.6316407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
"010007300","010007292","CLINIQUE AMBULATOIRE CENDANEG","Etablissement de soins chirurgicaux","Prive lucratif","CLINIQUE AMBULATOIRE CENDANEG 180 RTE DU NANT 01280 PREVESSIN MOENS",46.2484256,6.0863206,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2024,NA,NA,NA,NA,NA,NA,0,0,0,2,2024
"010009314","010780054","SSR H‘TEL DIEU","CH","Public","SSR HOTEL DIEU 47 BD DE BROU 01000 BOURG EN BRESSE",46.2010426,5.2333311,NA,NA,NA,NA,NA,94,70,NA,NA,NA,NA,NA,77,607,NA,NA,NA,NA,NA,32846,20382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,684,53228,0,0
"010009702","010780054","ESLD R…SIDENCE …MILE P…LICAND","SLD","Public",NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,8816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,7,8816,0,0
"010780195","010000156","CLINIQUE CONVERT - BOURG-EN-BRESSE","Etablissement de soins pluridisciplinaire","Prive lucratif","CLINIQUE CONVERT 62 AV DE JASSERON 01000 BOURG EN BRESSE",46.2108204,5.2534665,94,NA,NA,61,NA,NA,NA,5764,NA,NA,3759,NA,NA,NA,22306,NA,NA,13911,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,8534,NA,NA,0,NA,NA,NA,155,9523,36217,26,8534
"010780203","010006450","CLINIQUE MUTUALISTE AMBERIEU EN BUGEY","Etablissement de soins pluridisciplinaire","Prive non lucratif (non ESPIC)","CLINIQUE MUTUALISTE AMBERIEU EN BUGEY EN PRAGNAT NORD 01506 AMBERIEU EN BUGEY CEDEX",45.980458,5.3501213,38,15,NA,28,NA,NA,NA,2634,963,NA,988,NA,NA,NA,9645,3838,NA,5503,NA,NA,NA,12,NA,NA,2,NA,NA,NA,3691,0,NA,1931,NA,NA,NA,81,4585,18986,14,5622
"010780252","010783009","CRF L'ORCET - HAUTEVILLE","SSR prive","ESPIC","CRF L ORCET 180 R DU DOCTEUR DELANNOY 01110 HAUTEVILLE LOMPNES",45.9730358,5.6061483,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,652,NA,NA,NA,NA,NA,NA,20981,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,2222,70,652,20981,10,2222
"010780278","010783009","CTRE DE R……DUCATION MANGINI","SSR prive","ESPIC","CTRE DE REEDUCATION MANGINI 1436 AV FELIX MANGINI 01110 HAUTEVILLE LOMPNES",45.9722405,5.6142147,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,578,NA,NA,NA,NA,NA,NA,30340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,578,30340,0,0
"010780294","690000278","CENTRE DIALYSE CRAT - CH BELLEY","Centre de dialyse","Prive lucratif","NEPHROCARE CH BELLEY 54 R GEORGES GIRERD 01300 BELLEY",45.7619559,5.6846621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
"010780310","010000222","CTRE DE PNEUMOLOGIE CLAIR SOLEIL","SSR prive","Prive lucratif","CENTRE DE PNEUMOLOGIE CLAIR SOLEIL 135 R DES VILLAS 01110 HAUTEVILLE LOMPNES",45.9862397,5.6026092,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,280,NA,NA,NA,NA,NA,NA,12573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,280,12573,0,0
"010780328","010000222","CENTRE MEDICAL LE MODERN","SSR prive","Prive lucratif","CENTRE MEDICAL LE MODERN 311 R DE LA CHAPELLE 01110 HAUTEVILLE LOMPNES",45.9804131,5.6033078,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,468,NA,NA,NA,NA,NA,NA,19229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,468,19229,0,0
"010780476","750005068","ETABLISSEMENT DE SANTE POUR ADOLESCENTS DE CHANAY - GROUPE MGEN","SSR prive","ESPIC","CENTRE SSR READAPT ADOLESCENTS CHANAY 7 R DU CHATEAU 01420 CHANAY",46.0095046,5.7887305,NA,NA,NA,NA,NA,NA,115,NA,NA,NA,NA,NA,NA,1175,NA,NA,NA,NA,NA,NA,24667,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,601,115,1175,24667,3,601
"010780492","360000707","CRF ROMANS-FERRARI - MIRIBEL","SSR prive","ESPIC","CRF ROMANS-FERRARI R DE LA CHANAL 01700 MIRIBEL",45.8237251,4.94525,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,2861,NA,NA,NA,NA,NA,NA,15981,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,7601,64,2861,15981,20,7601
"010780708","310021381","CLINIQUE SSR KORIAN GLETEINS","SSR prive","Prive lucratif","CLINIQUE SSR CHATEAU DE GLETEINS 315 R EDOUARD HERRIOT 01480 JASSANS RIOTTIER",45.9908772,4.7586368,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,796,NA,NA,NA,NA,NA,NA,22936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,796,22936,0,0
"010780799","750721334","CRF CHATEAU D'ANGEVILLE - HAUTEVILLE","SSR prive","ESPIC","CTRE DE MPR CHATEAU D ANGEVILLE R DU 11 NOVEMBRE 1918 01110 HAUTEVILLE LOMPNES",45.98112,5.60547,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,763,NA,NA,NA,NA,NA,NA,23279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,763,23279,0,0
"010786259","010008407","USLD CH NANTUA","SLD","Public",NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,6564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,14,6564,0,0
"010789006","670005834","CENTRE DE DIALYSE FDTSFV DE VIRIAT","Structure d'alternative a la dialyse","ESPIC","CENTRE DE DIALYSE VIRIAT (AIDER) 6 R GAY LUSSAC 01440 VIRIAT",46.2191637,5.2097095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
"010789717","010008407","USLD CH OYONNAX","SLD","Public",NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,5971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,12,5971,0,0
"020000089","020000022","CH GUISE","CH","Public","CH GUISE 858 R DES DOCTEURS DEVILLERS 02120 GUISE",49.902336,3.6396371,NA,NA,NA,28,NA,30,42,NA,NA,NA,1161,NA,29,421,NA,NA,5444,9222,NA,10513,13741,NA,NA,15,NA,NA,NA,NA,NA,NA,125,0,NA,NA,NA,100,1611,38920,15,125
"020000097","020000048","CH LA F»RE","CH","Public","CH LA FERE 2 AV DUPUIS 02800 LA FERE",49.6639052,3.3594436,NA,NA,NA,31,NA,NA,29,NA,NA,NA,615,NA,NA,229,NA,NA,NA,10153,NA,NA,8408,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,2201,NA,NA,NA,60,844,18561,8,2201
"020000105","020000055","CH LE NOUVION-EN-THI…RACHE","CH","Public","CH LE NOUVION-EN-THIERACHE 40 R ANDRE RIDDERS 02170 LE NOUVION EN THIERACHE",50.0119364,3.7783756,NA,NA,NA,15,NA,NA,15,NA,NA,NA,399,NA,NA,279,NA,NA,4078,4356,NA,NA,5039,NA,NA,15,NA,NA,NA,NA,NA,NA,103,0,NA,NA,NA,30,678,13473,15,103
"020000162","020000063","CENTRE HOSPITALIER DE SAINT-QUENTIN","CH","Public","CH SAINT-QUENTIN 1 R MICHEL DE L HOSPITAL 02321 ST QUENTIN CEDEX",49.8605662,3.2696558,124,55,NA,292,NA,60,70,6217,2505,NA,15164,NA,44,887,26439,10002,NA,91697,NA,21268,24452,30,1,NA,51,NA,NA,NA,4995,612,NA,3551,NA,NA,NA,601,24817,173858,82,9158
"020000246","020000071","CH VERVINS","CH","Public","CH VERVINS PL DE LA LIBERTE 02140 VERVINS",49.8319511,3.9026499,NA,NA,NA,36,NA,NA,33,NA,NA,NA,536,NA,NA,301,NA,NA,NA,6983,NA,NA,8717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,69,837,15700,0,0
"020000303","750814030","LA RENAISSANCE SANITAIRE","Etablissement de soins pluridisciplinaire","ESPIC","LA RENAISSANCE SANITAIRE 1 R VICTOR ET LOUISE MONTFORT 02310 VILLIERS ST DENIS",48.9993312,3.2609547,NA,NA,NA,NA,NA,NA,350,NA,NA,NA,NA,NA,NA,4874,NA,NA,NA,NA,NA,NA,116940,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,6391,350,4874,116940,12,6391
"020000360","020014742","CLINIQUE SAINT CHRISTOPHE COURLANCY","Etablissement de soins chirurgicaux","Prive lucratif","CLINIQUE SAINT CHRISTOPHE COURLANCY 30 R DE LA VICTOIRE 02200 SOISSONS",49.3775412,3.3123077,29,NA,NA,NA,NA,NA,NA,1619,NA,NA,0,NA,NA,NA,5825,NA,NA,0,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,3988,NA,NA,1191,NA,NA,NA,29,1619,5825,20,5179
"020000386","020000600","S.A.S. CLINIQUE LA ROSERAIE","Maison de sant√© pour maladies mentales","Prive lucratif",NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28409,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,1725,NA,NA,71,0,28409,10,1725
"020000394","020000253","CENTRE HOSPITALIER DE LAON","CH","Public","CH LAON 33 R MARCELIN BERTHELOT 02001 LAON CEDEX",49.5639992,3.6110694,58,20,NA,156,NA,NA,NA,3316,1787,NA,6964,NA,NA,NA,13407,6573,NA,47671,NA,NA,NA,13,4,NA,14,NA,NA,NA,1509,234,NA,1122,NA,NA,NA,234,12067,67651,31,2865
"020000519","020000261","CH SOISSONS","CH","Public","CH SOISSONS 46 AV DU GENERAL DE GAULLE 02209 SOISSONS CEDEX",49.3704771,3.334317,53,50,NA,214,NA,NA,60,4472,3122,NA,9967,NA,NA,716,21710,9555,NA,55419,NA,NA,19134,10,NA,NA,12,NA,NA,NA,2032,0,NA,1,NA,NA,NA,377,18277,105818,22,2033
"020000535","020000287","CH CHAUNY","CH","Public","CH CHAUNY 94 R DES ANCIENS COMBATTANTS 02303 CHAUNY CEDEX",49.6253636,3.2338885,25,25,NA,121,NA,44,38,1171,1188,NA,5500,NA,29,383,4658,5525,NA,37943,NA,14827,11982,29,0,NA,8,NA,NA,0,3627,258,NA,222,NA,NA,NA,253,8271,74935,37,4107
"020000543","020000295","ETS PUB SANT… MENTALE DE L'AISNE","CHS","Public",NA,NA,NA,NA,NA,NA,NA,412,NA,NA,NA,NA,NA,NA,2379,NA,NA,NA,NA,NA,NA,127388,NA,NA,NA,NA,NA,NA,169,NA,NA,NA,NA,NA,NA,21980,NA,NA,412,2379,127388,169,21980
"020000915","020003620","CRF JACQUES FICHEUX SAINT-GOBAIN","CH","Public","SSR JACQUES FICHEUX SAINT-GOBAIN RTE DE SAINT NICOLAS 02410 ST GOBAIN",49.6011363,3.4152865,NA,NA,NA,NA,NA,NA,184,NA,NA,NA,NA,NA,NA,1841,NA,NA,NA,NA,NA,NA,59567,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,7919,184,1841,59567,16,7919
"020001061","020004404","CENTRE HOSPITALIER JEANNE DE NAVARRE","CH","Public","CH CHATEAU-THIERRY RTE DE VERDILLY 02400 CHATEAU THIERRY",49.0531713,3.4126333,32,23,NA,150,NA,NA,NA,1347,1122,NA,8039,NA,NA,NA,6676,5160,NA,44703,NA,NA,NA,10,1,NA,3,NA,NA,NA,1388,250,NA,684,NA,NA,NA,205,10508,56539,14,2322
"020001087","020004495","CH HIRSON","CH","Public","CH HIRSON 40 R AUX LOUPS 02500 HIRSON",49.9249181,4.0733736,NA,1,NA,60,NA,NA,30,NA,14,NA,2876,NA,NA,327,NA,0,NA,16207,NA,NA,9959,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,91,3217,26166,0,0
"020001772","590799995","CENTRE D AUTODIALYSE CHAUNY","Structure d'alternative a la dialyse","ESPIC","UAD SANTELYS CHAUNY 45 R PASTEUR 02300 CHAUNY",49.6183902,3.2215051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
"020001913","590799995","CENTRE D AUTODIALYSE LAON","Structure d'alternative a la dialyse","ESPIC","UAD SANTELYS LAON R DU 13 OCTOBRE 02000 LAON",49.5523556,3.6204551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
"020003877","020000253","CENTRE DE MOYEN SEJOUR CH LAON","CH","Public","SSR CH LAON 02000 LAON",49.5527064,3.5969706,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,606,NA,NA,NA,NA,NA,NA,21303,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,1253,70,606,21303,8,1253
"020004156","590805065","CLINIQUE SAINTE MONIQUE","Maison de sant√© pour maladies mentales","Prive non lucratif (non ESPIC)",NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19173,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,3370,NA,NA,54,0,19173,12,3370
"020004297","020005179","SERVICE HAD ASSOCIATION MEDICO-SOCIALE ANNE MORGAN","HAD","ESPIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9601,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,301,NA,NA,NA,NA,0,0,9601,44,301
"020004677","020000261","USLD CH SOISSONS","SLD","Public",NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,17460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,38,17460,0,0
"020005476","020000253","USLD CH LAON","SLD","Public",NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,14219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,11,14219,0,0
"020006441","590799995","CENTRE DE DIALYSE DE COURMELLES","Structure d'alternative a la dialyse","ESPIC","UAD SANTELYS COURMELLES 58 PL ST GEORGES 02200 COURMELLES",49.3452127,3.3133488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
"020006664","020000063","CENTRE PSYCHOTH…RAPIE CH ST QUENTIN","CH","Public",NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,1763,NA,NA,NA,NA,NA,NA,20063,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,14821,NA,NA,71,1763,20063,40,14821
"020009684","020002085","USLD MS BOHAIN-EN-VERMANDOIS","SLD","Public",NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,10491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,18,10491,0,0
"020010047","020001632","HOPITAL PRIVE ST CLAUDE","Etablissement de soins pluridisciplinaire","Prive lucratif","POLYCLINIQUE SAINT CLAUDE 1 BD DU DOCTEUR SCHWEITZER 02109 ST QUENTIN CEDEX",49.8594884,3.3095807,68,20,NA,35,NA,NA,NA,4157,1341,NA,1679,NA,NA,NA,15869,4981,NA,8695,NA,NA,NA,40,0,NA,4,NA,NA,NA,7495,122,NA,420,NA,NA,NA,123,7177,29545,44,8037
"020010310","750719361","ASSOCIATION AURORE","SSR prive","Prive non lucratif (non ESPIC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,3695,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,14,52,3695,0,0
"020010898","750721334","SERVICE D HOSPITALISATION A DOMICILE","HAD","Prive non lucratif (non ESPIC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3879,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,140,NA,NA,NA,NA,0,0,3879,25,140
"020011698","020006318","SERVICE HOSPITALISATION A DOMICILE","HAD","Prive non lucratif (non ESPIC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4281,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,0,0,4281,20,180
"020012613","590799995","CENTRE D AUTODIALYSE BRASLES","Structure d'alternative a la dialyse","ESPIC","UAD SANTELYS BRASLES 5 R DES GARATS 02400 BRASLES",49.0466745,3.4087118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
"020012860","590799995","CENTRE D AUTODIALYSE SAINT QUENTIN","Centre de dialyse","ESPIC","CDP&UDM SANTELYS ST-QUENTIN 263 R DE FAYET 02100 ST QUENTIN",49.8587667,3.2651134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
"020014767","590805065","SERVICE HOSPITALISATION A DOMICILE","HAD","Prive non lucratif (non ESPIC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10882,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,296,NA,NA,NA,NA,0,0,10882,40,296
"030000012","030180020","CH DE NERIS LES BAINS","CH","Public","CH DE NERIS LES BAINS 16 R VOLTAIRE 03310 NERIS LES BAINS",46.2856435,2.6624925,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,611,NA,NA,NA,NA,NA,NA,14769,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,2592,59,611,14769,10,2592
